id,تاریخ,کد ملک,نوع ملک,نام مالک,تلفن ,آدرس,تعداد طبقات,تعداد واحد در طبقه,قیمت کل,قیمت واحد,آنالیز قیمت,طبقه,زیربنا,خواب,تلفن,آشپزخانه,سرویس,کفپوش,OPEN,پارکینگ,انباری,بالکن,تجهیزات و امکانات,سن بنا,وضعیت ملک,نما,وضعیت سند,موقعیت مکانی
153,1404/07/12,10528288,آپارتمان,مخفی,,پیروزی خ جعفری,4,3,"2,950,000,000 تومان","62,765,000 تومان",18,2,47,1,1,MDF,ايرانی,سراميک,دارد,ندارد,دارد,ندارد,کولر گاز ,18,مسکونی,سنگ,شخصي,شمالی
154,1404/07/12,10572294,آپارتمان,مخفی,,نامجو خ شهبازی,4,1,"3,540,000,000 تومان","59,000,000 تومان",14,3,60,1,1,MDF,ايرانی,پارکت,دارد,ندارد,دارد,ندارد,کولر گاز ,14,تخلیه,سنگ,شخصي,جنوبی
155,1404/07/14,10532480,آپارتمان,مخفی,,سبلان جنوبی خ انصارالحسین,4,2,"3,750,000,000 تومان","56,818,000 تومان",20,3,66,1,1,MDF,ايرانی,سراميک,دارد,ندارد,ندارد,ندارد,شوفاژ کولر گاز ,20,مسکونی,سنگ,شخصي,شمالی
156,1404/07/12,10574840,آپارتمان,مخفی,,شهرك غرب بلواردادمان,6,2,"32,500,000,000 تومان","260,000,000 تومان",نوساز,1,125,3,1,MDF,ايراني فرنگي,سنگ,دارد,دارد,دارد,دارد,کولر آسانسور پکیج گاز ,نوساز,مسکونی,سنگ,شخصي,جنوبی
157,1404/07/14,10453531,آپارتمان,مخفی,,بلوار مرزداران خ بهار خ یگانه,5,2,"31,000,000,000 تومان","262,711,000 تومان",9,1,118,2,1,MDF,ايراني فرنگي,سنگ,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور پکیج گاز ,9,تخلیه,تراورتن,شخصي,شمالی
158,1404/07/14,10521610,آپارتمان,مخفی,,ستارخان بین پل و سه راه تهران ویلا,3,1,"6,000,000,000 تومان","75,000,000 تومان",22,3,80,3,1,MDF,ايرانی,پارکت,دارد,ندارد,دارد,ندارد,شوفاژ کولر گاز ,22,تخلیه,سنگ,شخصي,شمالی
159,1404/07/13,3828252,آپارتمان,مخفی,,خواجه نصیر بالاتر از خ آمل,3,3,"6,800,000,000 تومان","80,000,000 تومان",23,3,85,2,1,MDF,ايراني فرنگي,سراميک,ندارد,ندارد,دارد,دارد,شوفاژ کولر حیاط گاز ,23,مسکونی,سنگ,شخصي,جنوبی
160,1404/07/10,10574673,آپارتمان,مخفی,,نارمك چهارراه تلفنخانه,4,1,"5,300,000,000 تومان","81,538,000 تومان",19,3,65,2,1,هایگلاس,ايرانی,سراميک,دارد,دارد,دارد,دارد,شوفاژ کولر گاز ,19,تخلیه,سنگ,شخصي,شمالی
161,1404/07/12,10516865,آپارتمان,مخفی,,آیت الله كاشانی خ 200 دستگاه,5,2,"32,200,000,000 تومان","230,000,000 تومان",نوساز,3,140,3,1,MDF,ايراني فرنگي,سنگ,دارد,دارد,دارد,دارد,کولر آسانسور گاز ,نوساز,تخلیه,ترکیبی,شخصي,شمالی
162,1404/07/10,10568478,آپارتمان,مخفی,,وحیدیه خ زركش,5,1,"8,633,000,000 تومان","97,000,000 تومان",4,1,89,2,1,MDF,ايراني فرنگي,سنگ,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور گاز ,4,مسکونی,سنگ,شخصي,شمالی
163,1404/07/13,10526384,آپارتمان,مخفی,,پیروزی خ پرستار جنوبی,5,2,"12,100,000,000 تومان","110,000,000 تومان",نوساز,2,110,2,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,کولر آسانسور پکیج ,نوساز,مسکونی,سنگ,شخصي,شمالی
164,1404/07/10,10273950,آپارتمان,مخفی,,دروس خ چیذری,5,2,"52,500,000,000 تومان","350,000,000 تومان",نوساز,4,150,3,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,کولر آسانسور پکیج ,نوساز,تخلیه,سنگ,شخصي,جنوبی
165,1404/07/13,10648663,آپارتمان,مخفی,,مینی سیتی شهرك نفت,5,4,"15,500,000,000 تومان","180,232,000 تومان",8,4,86,2,1,MDF,ايراني فرنگي,لامنيت,دارد,دارد,دارد,دارد,آسانسور پکیج ,8,مسکونی,سنگ,شخصي,جنوبی
166,1404/07/13,10526235,آپارتمان,مخفی,,بلوارفردوس شرق خ علی حسینی,5,1,"16,600,000,000 تومان","114,482,000 تومان",16,4,145,3,1,چوبي,ايراني فرنگي,سنگ,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور ,16,مسکونی,سنگ,شخصي,جنوبی
167,1404/07/12,10116268,آپارتمان,مخفی,,تهرانپارس بلوار پروین خ 222,5,3,"3,500,000,000 تومان","72,916,000 تومان",12,1,48,1,1,MDF,ايرانی,سراميک,دارد,ندارد,ندارد,ندارد,کولر حیاط خلوت گاز ,12,مسکونی,سنگ,شخصي,شمالی
168,1404/07/14,3559271,آپارتمان,وهاب,,بهارستان خ صفی علیشاه پ 22,3,3,"10,000,000,000 تومان","70,920,000 تومان",,1,141,3,1,فلزي,ايرانی,موکت,ندارد,دارد,دارد,دارد,کولر گاز ,30,مسکونی,سنگ,شخصي,جنوبی
169,1404/07/10,10511047,آپارتمان,مخفی,,پونك ایران زمین شمالی,5,2,"21,000,000,000 تومان","140,000,000 تومان",20,5,150,3,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,ندارد,شوفاژ کولر آسانسور گاز ,20,مسکونی,سنگ,شخصي,جنوبی
170,1404/07/14,10438949,آپارتمان,مخفی,,گیشا خ 41,6,3,"20,160,000,000 تومان","210,000,000 تومان",نوساز,3,96,2,1,هایگلاس,ايراني فرنگي,سنگ,دارد,دارد,دارد,دارد,کولر آسانسور پکیج ,نوساز,تخلیه,سنگ,شخصي,جنوبی
171,1404/07/14,10729922,آپارتمان,مخفی,,سهروردی شمالی نرسیده به كوچه آزادی,4,1,"17,800,000,000 تومان","200,000,000 تومان",162,3,89,2,2,MDF,ايراني فرنگي,سنگ,دارد,دارد,ندارد,ندارد,شوفاژ کولر آسانسور گاز ,نوساز,مسکونی,,,شمالی
172,1404/07/14,10521506,آپارتمان,مخفی,,مجیدیه جنوبی خ استاد حسن بنا,3,2,"3,400,000,000 تومان","72,340,000 تومان",21,3,47,1,1,MDF,ايرانی,سراميک,دارد,ندارد,دارد,ندارد,شوفاژ کولر گاز ,21,تخلیه,سنگ,شخصي,شمالی
173,1404/07/13,10568950,آپارتمان,مخفی,,میدان هروی خ پناهی نیا,4,1,"12,920,000,000 تومان","170,000,000 تومان",نوساز,1,76,2,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,کولر آسانسور پکیج گاز ,نوساز,تخلیه,سنگ,شخصي,شمالی
174,1404/07/12,10518794,آپارتمان,مخفی,,دروس خ هدایت,6,2,"170,000,000,000 تومان","500,000,000 تومان",نوساز,1,340,4,1,چوبي,ايراني فرنگي,سنگ,دارد,دارد,دارد,دارد,آسانسور چیلر ,نوساز,تخلیه,سنگ,شخصي,جنوبی
175,1404/07/14,10736126,آپارتمان,مخفی,,سبلان جنوبی خ رجبی,5,2,"3,780,000,000 تومان","105,000,000 تومان",نوساز,2,36,1,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,ندارد,دارد,کولر آسانسور پکیج گاز ,نوساز,تخلیه,سنگ,شخصي,جنوبی
176,1404/07/12,10244839,آپارتمان,مخفی,,نارمك میدان 44,5,2,"13,905,000,000 تومان","135,000,000 تومان",1,3,103,2,1,MDF,ايراني فرنگي,سنگ,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور پکیج گاز ,1,تخلیه,سنگ,شخصي,شمالی
177,1404/07/14,10513719,آپارتمان,مخفی,,زعفرانیه خ ماكوئی پور شمالی,10,2,"175,000,000,000 تومان","700,000,000 تومان",نوساز,1,250,3,1,چوبي,ايراني فرنگي,سنگ,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور ,نوساز,مسکونی,سنگ,شخصي,جنوبی
178,1404/07/14,10185503,آپارتمان,مخفی,,ولیعصر پایین تراز پارك وی,5,1,"36,000,000,000 تومان","200,000,000 تومان",12,2,180,3,1,MDF,ايراني فرنگي,سنگ,دارد,دارد,دارد,ندارد,کولر آسانسور پکیج گاز ,12,مسکونی,سنگ,شخصي,شمالی
179,1404/07/14,10736109,آپارتمان,مخفی,,سهروردی شمالی خ هویزه,5,1,"23,000,000,000 تومان","146,496,000 تومان",18,5,157,3,1,MDF,ايراني فرنگي,پارکت,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور گاز ,18,تخلیه,سنگ,شخصي,شمالی
180,1404/07/13,10078445,آپارتمان,مخفی,,نارمك میدان 41,4,1,"8,700,000,000 تومان","101,162,000 تومان",8,4,86,2,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,کولر پکیج ,8,اجاره,سنگ,شخصي,شمالی
181,1404/07/13,10553237,آپارتمان,مخفی,,اختیاریه جنوبی خ مطلبی نیا,5,1,"45,540,000,000 تومان","230,000,000 تومان",,2,198,3,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,ندارد,کولر آسانسور گاز ,نوساز,تخلیه,سنگ,شخصي,جنوبی
182,1404/07/14,10474835,آپارتمان,مخفی,,دركه خ مفیدی,10,6,"22,000,000,000 تومان","159,420,000 تومان",5,1,138,3,1,MDF,ايراني فرنگي,سنگ,دارد,دارد,دارد,ندارد,کولر آسانسور استخر پکیج سونا جکوزی گاز ,5,تخلیه,ترکیبی,شخصي,جنوبی
183,1404/07/13,10574743,آپارتمان,مخفی,,اشرفی اصفهانی خ فكوری,4,2,"9,000,000,000 تومان","121,620,000 تومان",17,همكف,74,2,1,MDF,ايراني فرنگي,سراميک,ندارد,ندارد,دارد,ندارد,شوفاژ کولر گاز ,17,مسکونی,سنگ,شخصي,جنوبی
184,1404/07/14,10736161,آپارتمان,مخفی,,پیروزی كرمان خ نظرآهاری,4,2,"3,950,000,000 تومان","73,148,000 تومان",17,1,54,1,1,MDF,فرنگی,سراميک,دارد,دارد,دارد,دارد,کولر آسانسور پکیج گاز ,17,تخلیه,سنگ,شخصي,جنوبی
185,1404/07/13,10732886,آپارتمان,مخفی,,امیرآباد كارگرشمالی,5,1,"19,800,000,000 تومان","180,000,000 تومان",30,3,110,2,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,ندارد,کولر آسانسور پکیج گاز ,30,تخلیه,سنگ,شخصي,شمالی
186,1404/07/14,10736152,آپارتمان,مخفی,,شهران خ وسك,4,2,"14,500,000,000 تومان","123,931,000 تومان",24,3,117,2,1,هایگلاس,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,شوفاژ کولر گاز ,24,مسکونی,سنگ,شخصي,جنوبی
187,1404/07/13,10527984,آپارتمان,مخفی,,تهران پارس بزرگراه رسالت,7,9,"15,960,000,000 تومان","140,000,000 تومان",نوساز,5,114,2,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,کولر آسانسور پکیج گاز ,نوساز,تخلیه,سنگ,شخصي,جنوبی
188,1404/07/13,10735829,آپارتمان,مخفی,,مجیدیه شمالی خ استاد حسن بنا,4,1,"4,790,000,000 تومان","90,377,000 تومان",,3,53,1,1,MDF,ايرانی,سراميک,دارد,ندارد,دارد,ندارد,شوفاژ کولر گاز ,30,تخلیه,سنگ,شخصي,شمالی
189,1404/07/12,10543010,آپارتمان,مخفی,,شهرزیبا شربیانی غربی,7,6,"11,000,000,000 تومان","118,279,000 تومان",6,3,93,2,1,MDF,ايراني فرنگي,سنگ,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور ,6,مسکونی,ترکیبی,شخصي,جنوبی
190,1404/07/13,10530442,آپارتمان,مخفی,,اشرفی اصفهانی بالاتراز پل نیایش,7,13,"9,984,000,000 تومان","128,000,000 تومان",11,1,78,2,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,کولر آسانسور گاز ,11,تخلیه,سنگ,شخصي,جنوبی
191,1404/07/13,10608228,آپارتمان,مخفی,,كریم خان  خردمند شمالی,9,2,"13,950,000,000 تومان","108,139,000 تومان",30,5,129,4,1,MDF,ايراني فرنگي,سراميک,ندارد,ندارد,دارد,ندارد,شوفاژ کولر آسانسور پکیج گاز ,30,تخلیه,سنگ,شخصي,شمالی
192,1404/07/13,10576469,آپارتمان,مخفی,,كن خ ابوالفضل خ طاهری,4,1,"3,000,000,000 تومان","50,000,000 تومان",9,1,60,1,1,MDF,ايرانی,سراميک,ندارد,ندارد,دارد,ندارد,کولر گاز ,9,مسکونی,سنگ,قولنامه اي,شمالی
193,1404/07/13,10575313,آپارتمان,مخفی,,ولیعصر نرسیده به پارك وی,5,4,"26,460,000,000 تومان","210,000,000 تومان",20,2,126,2,1,چوبي,ايراني فرنگي,پارکت,دارد,دارد,دارد,دارد,کولر آسانسور پکیج ,20,مسکونی,سنگ,شخصي,جنوبی
194,1404/07/12,10522385,آپارتمان,مخفی,,سعادت آباد صرافها شمالی,3,3,"32,000,000,000 تومان","316,831,000 تومان",28,1,101,2,2,MDF,ايراني فرنگي,سراميک,دارد,ندارد,ندارد,دارد,کولر گاز ,28,مسکونی,سنگ,شخصي,شمالی
195,1404/07/14,10332554,آپارتمان,مخفی,,گلبرگ شرقی خ دردشت,4,2,"6,000,000,000 تومان","103,448,000 تومان",22,3,58,1,1,فلزي,ايرانی,سراميک,ندارد,دارد,دارد,دارد,شوفاژ کولر ,22,مسکونی,آجر سه سانت,شخصي,شمالی
196,1404/07/14,10729919,آپارتمان,مخفی,,سهروردی شمالی نرسیده به ك آزادی,4,1,"17,355,000,000 تومان","195,000,000 تومان",162,2,89,2,2,MDF,ايراني فرنگي,سنگ,دارد,دارد,ندارد,ندارد,شوفاژ کولر آسانسور گاز ,نوساز,مسکونی,,,شمالی
197,1404/07/12,10240364,آپارتمان,مخفی,,بلوارمرزداران بلوار جانبازان,5,2,"20,600,000,000 تومان","188,990,000 تومان",1,1,109,2,1,MDF,ايراني فرنگي,سنگ,دارد,دارد,دارد,دارد,کولر آسانسور پکیج گاز ,1,اجاره,سنگ,شخصي,جنوبی
198,1404/07/10,10515920,آپارتمان,مخفی,,جنت آباد خ بهمنی نژاد,5,2,"18,000,000,000 تومان","144,000,000 تومان",4,3,125,3,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور گاز ,4,تخلیه,سنگ,شخصي,شمالی
199,1404/07/13,10052556,آپارتمان,مخفی,,سعادت آباد میدان بوستان,14,3,"15,984,000,000 تومان","148,000,000 تومان",8,1,108,2,1,هایگلاس,ايراني فرنگي,لامنيت,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور گاز ,8,تخلیه,سنگ,دردست اقدام,شرقی
200,1404/07/12,10301460,آپارتمان,مخفی,,ملاصدرا خ گرمسار,5,1,"30,195,000,000 تومان","183,000,000 تومان",18,1,165,3,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور استخر سونا ,18,مسکونی,سنگ,شخصي,جنوبی
201,1404/07/14,10736123,آپارتمان,مخفی,,نیروی دریایی خ كاظمی,4,1,"5,000,000,000 تومان","64,935,000 تومان",,4,77,2,1,MDF,ايرانی,سنگ,دارد,ندارد,دارد,ندارد,شوفاژ کولر گاز ,30,تخلیه,سنگ,منگوله دار,جنوبی
202,1404/07/13,10126449,آپارتمان,مخفی,,پونك بلوار كمالی,5,3,"24,300,000,000 تومان","180,000,000 تومان",نوساز,3,135,3,1,MDF,ايراني فرنگي,لامنيت,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور گاز ,نوساز,تخلیه,سنگ,شخصي,شمالی
203,1404/07/13,3820828,آپارتمان,مخفی,,گلبرگ شرقی خ دردشت,3,4,"17,000,000,000 تومان","182,795,000 تومان",20,1,93,3,1,MDF,ايرانی,سراميک,دارد,دارد,دارد,ندارد,شوفاژ کولر گاز ,20,مسکونی,سنگ,شخصي,جنوبی
204,1404/07/10,10526848,آپارتمان,مخفی,,انقلاب خ اعتمادی,4,1,"5,040,000,000 تومان","70,000,000 تومان",,1,72,2,1,MDF,ايراني فرنگي,سراميک,دارد,ندارد,دارد,ندارد,کولر گاز ,27,مسکونی,سنگ,شخصي,جنوبی
205,1404/07/12,10735668,آپارتمان,مخفی,,پاسداران ابتدای همت,4,4,"22,000,000,000 تومان","366,666,000 تومان",13,4,60,1,1,هایگلاس,ايراني فرنگي,پارکت,دارد,دارد,ندارد,ندارد,کولر آسانسور پکیج گاز ,13,تخلیه,سنگ,شخصي,شمالی
206,1404/07/13,10570468,آپارتمان,مخفی,,اشرفی اصفهانی باغ فیض,5,8,"11,200,000,000 تومان","141,772,000 تومان",9,1,79,2,1,چوبي,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور ,9,مسکونی,سنگ,شخصي,جنوبی
207,1404/07/14,10268247,آپارتمان,مخفی,,زعفرانیه نرسیده به میدان اعجازی,5,6,"80,000,000,000 تومان","500,000,000 تومان",6,همكف,160,2,1,MDF,ايراني فرنگي,سنگ,دارد,دارد,دارد,ندارد,شوفاژ کولر آسانسور ,6,مسکونی,سنگ,شخصي,شمالی
208,1404/07/14,10276268,آپارتمان,مخفی,,تهرانپارس میدان پروین خ 131,4,2,"3,500,000,000 تومان","72,916,000 تومان",17,3,48,1,1,MDF,ايرانی,پارکت,دارد,ندارد,دارد,ندارد,کولر گاز ,17,مسکونی,سنگ,شخصي,شمالی
209,1404/07/12,10570261,آپارتمان,مخفی,,شهر زیبا خ نیلوفر,3,1,"23,000,000,000 تومان","131,420,000 تومان",300,همكف,175,2,1,فلزي,ايرانی,سنگ,ندارد,دارد,دارد,ندارد,شوفاژ کولر گاز ,30,مسکونی,سنگ,,جنوبی
210,1404/07/12,10495018,آپارتمان,مخفی,,ستارخان خ خسرو جنوبی,4,2,"9,500,000,000 تومان","115,850,000 تومان",30,2,82,2,1,چوبي فلزي,ايراني فرنگي,سراميک,ندارد,دارد,دارد,دارد,شوفاژ کولر گاز ,30,اجاره,آجر سه سانت,شخصي,جنوبی
211,1404/07/12,10569117,آپارتمان,مخفی,,امام حسین خ منتظری,5,1,"11,500,000,000 تومان","85,185,000 تومان",,4,135,2,1,دلخواه,ايراني فرنگي,سراميک,دارد,دارد,دارد,ندارد,کولر آسانسور پکیج ,نوساز,تخلیه,سنگ,شخصي,شمالی
212,1404/07/13,10354731,آپارتمان,مخفی,,شریعتی روبروی ملك خ ادیبی,4,2,"4,500,000,000 تومان","91,836,000 تومان",24,4,49,1,1,MDF,ايرانی,سنگ,دارد,ندارد,دارد,ندارد,شوفاژ کولر گاز ,24,اجاره,سنگ,شخصي,شمالی
213,1404/07/13,10735810,آپارتمان,مخفی,,مینی سیتی شهرك صدف,8,8,"14,750,000,000 تومان","125,000,000 تومان",19,3,118,3,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور گاز ,19,مسکونی,سنگ,شخصي,شمالی
214,1404/07/13,10529925,آپارتمان,مخفی,,گیشابالاتراز خ 34,4,1,"18,000,000,000 تومان","200,000,000 تومان",30,3,90,2,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,شوفاژ کولر ,30,تخلیه,سنگ,شخصي,شمالی
215,1404/07/12,10487212,آپارتمان,مخفی,,شهرزیبا  میدان الغدیر,15,5,"15,000,000,000 تومان","140,180,000 تومان",3,12,107,2,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور گاز ,3,تخلیه,سنگ,دردست اقدام,جنوبی
216,1404/07/13,10520925,آپارتمان,مخفی,,نارمك خ سهیلیان جنوبی,4,1,"7,000,000,000 تومان","87,500,000 تومان",14,4,80,2,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,شوفاژ کولر گاز ,14,مسکونی,سنگ,شخصي,شرقی
217,1404/07/13,10730757,آپارتمان,مخفی,,نیاوران خ خداوردی,5,2,"92,250,000,000 تومان","450,000,000 تومان",نوساز,2,205,3,1,MDF,ايراني فرنگي,سنگ,دارد,دارد,دارد,دارد,کولر آسانسور چیلر گاز ,نوساز,تخلیه,سنگ,شخصي,شرقی
218,1404/07/12,10569191,آپارتمان,مخفی,,پیروزی خ حاجی امیری,4,1,"2,800,000,000 تومان","90,322,000 تومان",23,2,31,1,0,MDF,ايرانی,سراميک,دارد,ندارد,دارد,دارد,کولر گاز ,23,تخلیه,سنگ,شخصي,جنوبی
219,1404/07/10,10730372,آپارتمان,مخفی,,ولنجك بالاتراز خ سیزدهم,4,1,"100,000,000,000 تومان","568,181,000 تومان",24,1,176,2,1,MDF,ايرانی,پارکت سراميک,دارد,دارد,دارد,دارد,شوفاژ کولر ,24,اجاره,سنگ,شخصي,جنوبی
220,1404/07/13,10571001,آپارتمان,مخفی,,پیروزی خ داوودآبادی,4,2,"3,950,000,000 تومان","59,848,000 تومان",20,3,66,1,1,MDF,ايرانی,پارکت,دارد,ندارد,ندارد,دارد,کولر گاز ,20,تخلیه,سنگ,شخصي,جنوبی
221,1404/07/13,10575191,آپارتمان,مخفی,,سعادت آباد خ صرافهای شمالی,15,4,"114,000,000,000 تومان","400,000,000 تومان",نوساز,2,285,4,0,فرنيش,فرنگی,سنگ,ندارد,دارد,دارد,ندارد,کولر آسانسور چیلر گاز ,نوساز,تخلیه,ترکیبی,شخصي,شرقی
222,1404/07/13,10489673,آپارتمان,مخفی,,جمالزاده شمالی خ صدوقی,2,1,"18,000,000,000 تومان","180,000,000 تومان",30,1,100,2,1,MDF,ايراني فرنگي,پارکت,دارد,ندارد,دارد,ندارد,شوفاژ کولر ,30,اجاره,سيمان,شخصي,جنوبی
223,1404/07/13,3792023,آپارتمان,مخفی,,نیروی دریایی نرسیده به ك ناطقی,4,1,"7,360,000,000 تومان","80,000,000 تومان",,4,92,2,1,MDF,ايراني فرنگي,سراميک,دارد,ندارد,دارد,دارد,شوفاژ کولر گاز ,15,اجاره,سنگ,شخصي,شمالی
224,1404/07/10,10182531,آپارتمان,مخفی,,اتوبان بابایی شهرك شهید بهشتی,17,8,"10,500,000,000 تومان","120,689,000 تومان",نوساز,3,87,2,1,دلخواه,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,کولر آسانسور پکیج گاز ,نوساز,تخلیه,سيمان,تعاوني,جنوبی
225,1404/07/12,10729417,آپارتمان,مخفی,,هروی خ جمالی,4,2,"15,500,000,000 تومان","132,478,000 تومان",30,1,117,2,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,شوفاژ کولر گاز ,30,تخلیه,سنگ,شخصي,جنوبی
226,1404/07/13,10735818,آپارتمان,مخفی,,مجیدیه جنوبی خ كرمان,4,1,"4,800,000,000 تومان","96,000,000 تومان",14,4,50,1,1,MDF,ايراني فرنگي,سراميک,دارد,ندارد,دارد,دارد,شوفاژ کولر پکیج گاز ,14,تخلیه,سنگ,شخصي,شمالی
227,1404/07/10,10526894,آپارتمان,مخفی,,زعفرانیه بلوار بهزادی,5,1,"155,000,000,000 تومان","500,000,000 تومان",نوساز,مختلف,310,3,3,چوبي,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,فن کوئر آسانسور ,نوساز,تخلیه,سنگ,شخصي,شمالی
228,1404/07/10,10531932,آپارتمان,مخفی,,ولنجك نرسیده به بلوار دانشجو,5,1,"8,670,000,000 تومان","170,000,000 تومان",5,1,51,1,1,MDF,ايرانی,سنگ,دارد,ندارد,دارد,دارد,شوفاژ کولر آسانسور ,5,اجاره,آجر,شخصي,شمالی
229,1404/07/13,10202202,آپارتمان,مخفی,,ونك ده ونك خ صابری خ حسینیه,5,2,"17,000,000,000 تومان","134,920,000 تومان",5,1,126,3,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,کولر آسانسور گاز ,5,مسکونی,سنگ,شخصي,شمالی
230,1404/07/13,10521819,آپارتمان,مخفی,,شهرك غرب بلوار فرحزادی,2,1,"65,000,000,000 تومان","541,666,000 تومان",208,1,120,2,1,فلزي,ايرانی,سراميک,ندارد,دارد,دارد,دارد,کولر گاز ,30,تخلیه,,,شمالی
231,1404/07/13,10574655,آپارتمان,مخفی,,سبلان جنوبی خ حیدری,6,4,"7,000,000,000 تومان","79,545,000 تومان",2,3,88,2,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور گاز ,2,تخلیه,سنگ,شخصي,جنوبی
232,1404/07/14,10132757,آپارتمان,مخفی,,خواجه نصیر خ سپاه,5,1,"11,500,000,000 تومان","100,000,000 تومان",نوساز,1,115,2,1,هایگلاس,ايراني فرنگي,سراميک,دارد,دارد,ندارد,دارد,کولر آسانسور پکیج گاز ,نوساز,تخلیه,سنگ,شخصي,شمالی
233,1404/07/13,3991729,آپارتمان,مخفی,,سعادت آباد شهرك پاسارگاد میدان بهرود,2,1,"28,000,000,000 تومان","243,478,000 تومان",208,2,115,2,1,MDF,ايراني فرنگي,سنگ,دارد,دارد,دارد,دارد,شوفاژ کولر گاز ,30,مسکونی,آجر,,شمالی
234,1404/07/13,10572611,آپارتمان,مخفی,,ستارخان كاشانی پور,13,4,"10,600,000,000 تومان","87,603,000 تومان",24,1,121,3,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور گاز ,24,تخلیه,سنگ,شخصي,شمالی
235,1404/07/12,10518402,آپارتمان,مخفی,,بلوارمرزداران خ لادن,3,1,"11,500,000,000 تومان","103,603,000 تومان",23,3,111,2,1,MDF,ايرانی,پارکت,دارد,دارد,دارد,ندارد,شوفاژ کولر گاز ,23,مسکونی,آجر,شخصي,غربی
236,1404/07/13,10628767,آپارتمان,مخفی,,اتوبان بابایی شهرك بهشتی,9,6,"7,500,000,000 تومان","68,181,000 تومان",22,6,110,3,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور ,22,اجاره,ترکیبی,تعاوني,شمالی
237,1404/07/14,10528013,آپارتمان,مخفی,,جمالزاده شمالی بالاتراز ك شیرزاد,4,1,"9,000,000,000 تومان","83,333,000 تومان",19,4,108,3,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,ندارد,شوفاژ کولر آسانسور ,19,مسکونی,سنگ,شخصي,شمالی
238,1404/07/12,10514491,آپارتمان,مخفی,,تهرانپارس خ رشید,3,1,"24,000,000,000 تومان","160,000,000 تومان",333,1,150,3,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,شوفاژ کولر گاز ,23,تخلیه,,,شرقی
239,1404/07/10,10490557,آپارتمان,مخفی,,بزرگراه محلاتی خ تاجیك,5,3,"3,700,000,000 تومان","66,071,000 تومان",21,5,56,2,1,MDF,ايراني فرنگي,سراميک,دارد,ندارد,دارد,دارد,کولر آسانسور گاز ,21,مسکونی,سنگ,شخصي,جنوبی
240,1404/07/12,10568526,آپارتمان,مخفی,,شمس اباد میدان ملت,4,2,"6,000,000,000 تومان","92,307,000 تومان",,4,65,2,1,MDF,ايراني فرنگي,سراميک,دارد,ندارد,دارد,ندارد,شوفاژ کولر گاز ,23,تخلیه,سنگ,شخصي,جنوبی
241,1404/07/13,10265800,آپارتمان,مخفی,,پونك بلوار همیلا,4,1,"18,000,000,000 تومان","136,360,000 تومان",18,3,132,3,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,ندارد,شوفاژ کولر گاز ,18,مسکونی,سنگ,شخصي,جنوبی
